stnreg_stnid	Stnreg	Platform type
KAWA10	ÅLBORG BUGT	BTL
GBSY42	ÅNGERMANÄLVEN 0	BTL
GBSY43	ÅNGERMANÄLVEN 1	BTL
GBSY62	ÅNGERMANÄLVEN 100	BTL
GBSY63	ÅNGERMANÄLVEN 101	BTL
GBSY47	ÅNGERMANÄLVEN 13	BTL
GBSY48	ÅNGERMANÄLVEN 15	BTL
GBSY49	ÅNGERMANÄLVEN 17	BTL
GBSY50	ÅNGERMANÄLVEN 19	BTL
GBSY51	ÅNGERMANÄLVEN 22	BTL
GBSY52	ÅNGERMANÄLVEN 25	BTL
GBSY53	ÅNGERMANÄLVEN 27	BTL
GBSY44	ÅNGERMANÄLVEN 3	BTL
GBSY54	ÅNGERMANÄLVEN 34	BTL
GBSY55	ÅNGERMANÄLVEN 40	BTL
GBSY56	ÅNGERMANÄLVEN 42	BTL
GBSY57	ÅNGERMANÄLVEN 51	BTL
GBSY58	ÅNGERMANÄLVEN 54	BTL
GBSY59	ÅNGERMANÄLVEN 60	BTL
GBSY60	ÅNGERMANÄLVEN 63	BTL
GBSY61	ÅNGERMANÄLVEN 65	BTL
GBSY45	ÅNGERMANÄLVEN 7	BTL
GBSY64	ÅNGERMANÄLVEN 701	BTL
GBSY46	ÅNGERMANÄLVEN 9	BTL
FIBO53	ÅSTOL	BTL
KANI03	ÄLVSBORGSBRON	BTL
KANI89	ÄLVSBORGSFJORD	BTL
FIBG21	ÖREKILSÄLVENS MYNN	BTL
SOSX47	ÖRESUND-1	BTL
SOCX38	ÖRESUND-10	BTL
SONX36	ÖRESUND-11	BTL
SONX35	ÖRESUND-12	BTL
SONX33	ÖRESUND-12X	BTL
SONX34	ÖRESUND-13	BTL
SOSX46	ÖRESUND-2	BTL
SOSX45	ÖRESUND-3	BTL
SOCX44	ÖRESUND-4	BTL
SOCX43	ÖRESUND-5	BTL
SOCX42	ÖRESUND-6	BTL
SOCX41	ÖRESUND-7	BTL
SOCX40	ÖRESUND-8	BTL
GBAO03	ÖSTHAMMARSFJÄRDEN - N	BTL
GBAO02	ÖSTHAMMARSFJÄRDEN - S	BTL
SONX11	ÖVF 1:1 HÖGANÄS	BTL
SONX21	ÖVF 2:1 HELSINGBORG	BTL
SOCX31	ÖVF 3:1 LUNDÅKRA	BTL
SOCX32	ÖVF 3:2 LUNDÅKRA	BTL
SOCX33	ÖVF 3:3 LUNDÅKRA	BTL
SOCX51	ÖVF 4:1 LOMMA	BTL
SOCX55	ÖVF 4:11 LOMMA	BTL
SOCX52	ÖVF 4:2 LOMMA	BTL
SOCX53	ÖVF 4:3 LOMMA	BTL
SOCX54	ÖVF 4:4 LOMMA	BTL
SOCX48	ÖVF 4:8 LOMMA	BTL
SOSX51	ÖVF 5:1 HÖLLVIKEN	BTL
SOSX52	ÖVF 5:2 HÖLLVIKEN	BTL
BPNS64	BAGGENSFJÄRDEN	BTL
BPNS68	BLOCKHUSUDDEN	BTL
BPNS80	BLOMSKÄR	BTL
FIBG30	BREDUNGEN	BTL
BPNS56	EDEBOVIKEN YTTRE	BTL
BPNS61	ERSTAVIKEN	BTL
BPNS70	FARSTAVIKEN	BTL
BPNS62	FRANSKA STENARNA	BTL
BPNS72	HALVKAKSSUNDET	BTL
BPNS66	HAMMARBY SJÖ	BTL
BPNS87	IKORN	BTL
BPNS75	KARANTÄNBOJEN	BTL
BPNS83	KYRKFJÄRDEN (S)	BTL
BPNX62	LL15	BTL
BPNS65	LÄNNERSTASUNDET	BTL
BPNS81	NORRA VAXHOLMSFJÄRDEN	BTL
BPNS67	NV EKNÖ	BTL
BPNS82	NYVARP	BTL
BPWK25	OKG2-V	BTL
BPWK26	OKG3-V	BTL
BPNS78	OXDJUPET	BTL
BPNS86	RÖDHÄLL	BTL
BPNS69	SLUSSEN	BTL
BPNS77	SOLÖFJÄRDEN	BTL
BPNS85	SO ÖSTERSKÄR	BTL
BPNS79	S VAXHOLMSFJÄRDEN	BTL
BPND03	SÖ3 / YTTRE MARSVIKEN	BTL
BPNS71	TORSBYHOLMEN	BTL
BPNS84	TRÄLHAVET II	BTL
BPNS48	U12 / EDEBOVIKEN MELLAN	BTL
GBAC06	U6B / KALLRIGAFJÄRDEN	BTL
BPNS74	VITA MÄRREN	BTL
BPNS88	VÄXLET	BTL
BPNS73	ÅKERVIKSUDDE	BTL
BPNS63	ÄGNÖFJÄRDEN	BTL
BPNS76	ÄLVVIK	BTL
BSXX16	939 HALSSKOV REV	BTL
BPSA05	W HAMMER ODDE	BTL
