Data type	Check status	Checked by	Year	Sampling platform (code)	Visit event identifier	Expedition identifier	Station name	Reported station name	Project	Orderer	Sampling date	Sampling time (start)	Sampling date (end)	Sampling time (end)	Shark sample id	Sample latitude (DM)	Sample longitude (DM)	Sample latitude (DD)	Sample longitude (DD)	Positioning system (code)	Station water depth	Wind direction (code)	Wind speed (m/s)	Air temperature (C)	Wet-bulb temperature (C)	Air pressure (hpa)	Weather observations (code)	Cloud (code)	Wave observation (code)	Ice (code)	Secchi depth (m)	Q-flag Secchi depth	Additional Sampling	Sampling event comment	Sampling depth (m)	Pressure CTD (dbar)	Q-flag Pressure CTD	Temperature bottle (C)	Q-flag Temperature bottle	Temperature CTD (C)	Q-flag Temperature CTD	Salinity bottle (o/oo psu)	Q-flag Salinity bottle	Salinity CTD (o/oo psu)	Q-flag Salinity CTD	Conductivity_25 bottle (mS/m)	Q-flag Conductivity_25 bottle	Conductivity CTD (mS/m)	Q-flag Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	Q-flag Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	Q-flag Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	Q-flag Hydrogen sulphide H2S	pH	Q-flag pH	pH Laboratory	Q-flag pH Laboratory	Temperature pH Laboratory (C)	Q-flag Temperature pH Laboratory	Alkalinity (mmol/kg)	Q-flag Alkalinity	Alkalinity_2 (mmol/l)	Q-flag Alkalinity_2	Phosphate PO4-P (umol/l)	Q-flag Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	Q-flag Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	Q-flag Nitrite NO2-N	Nitrate NO3-N (umol/l)	Q-flag Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	Q-flag Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	Q-flag Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	Q-flag Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flag Humus	Chlorophyll-a bottle (ug/l)	Q-flag Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	Q-flag Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	Q-flag Particulate organic carbon POC	Total organic carbon TOC (mg/l)	Q-flag Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	Q-flag Particulate organic nitrogen PON	Current direction (deca degrees)	Q-flag Current direction	Current velocity (cm/s)	Q-flag Current velocity	Lignin (mg/l)	Q-flag Lignin	Yellow substance (1/l)	Q-flag Yellow substance	Aluminium (ug/l)	Q-flag Aluminium	Urea (umol/l)	Q-flag Urea	Colored dissolved organic matter CDOM (1/m)	Q-flag Colored dissolved organic matter CDOM	Sample comment	Water category	Water district	Sea area name	Sea area code	Water type area	Sea basin	HELCOM/OSPAR area	Economic zone	County	Municipality	Station ID (VISS)	Reporting institute	Data holding centre	Internet access	Data set name	File name
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+5+5	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				5				B	9.02				6.79						8.34		8.5														0.08		0.82		0.02		0.10	<	0.10	<			21.5		15.0				1.9																									4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+10+10	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				10			8.79		8.88				6.80						8.49		8.5														0.09		0.83		0.02		0.10	<	0.10	<			21.3		15.4				2.2																									4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+15+15	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				15			7.22		7.14				6.88						8.44		8.5														0.14		0.82		0.02	<	0.10	<	0.10	<			20.1		15.6				2.3																									4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+20+20	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				20			6.35		6.31				6.90						8.38		8.5														0.16		0.82		0.02	<	0.10	<	0.10	<			19.4		15.9				1.6																									4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+30+30	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				30					5.36				6.92						8.35		8.5														0.30		0.88		0.02	<	0.10	<	0.10	<			18.0		16.8				0.3																									4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+40+40	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				40					4.03				7.03						8.23		8.4														0.53		1.09		0.04		0.10	<	0.10	<			19.6		17.5				0.2	<																								4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+50+50	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				50			3.22		3.22				7.14						8.03		8.2														0.74		1.23		0.15		0.25		0.40				19.5		18.6				0.2	<																								4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+60+60	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				60					3.14				7.23						7.86		8.0														0.90		1.31		0.18		1.91		2.09				20.5		19.9																													4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+70+70	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				70			3.80		3.75				7.60						6.36		6.5														1.33		1.68		0.19		3.83		4.02				21.8		24.9																													4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+80+80	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				80					4.74				8.45						2.25		3.1														2.56		2.75		0.09		5.37		5.46				22.4		40.2																													4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+90+90	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				90			5.19		5.17				9.60							B	0.1		5												4.42		4.39		0.05		0.10	<	0.10	<			22.1		55.2																												90  : H2S-LUKT	4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+100+100	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				100					5.26				9.97										14												4.18		4.09			B	0.10	<	0.10	<			24.4		58.1																													4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0281		BY32 NORRKÖPINGSDJ	BY32 NORRKÖPING	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-05-22	04:00			SHARK-HYD+2016+34AR+0281+125+125	58 01.01	17 59.07	58.01683	17.98450		200	21	5	10.5		1014	2	6	2	0	7				125			5.34		5.36				10.19										20												4.28		4.24			B	0.10	<	0.10	<			24.1		59.6																													4 - Utsjövatten					V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-06-15.zip
